molecule_A2BC,2_1_1_3,3.53
molecule_A2BC,2_1_1_3,3.57
molecule_A2BC,2_1_1_3,3.67
molecule_A2BC,2_1_1_4,3.57
molecule_A2BC,2_1_1_4,3.71
molecule_A2BC,2_1_1_4,3.66
molecule_A2BC,2_1_1_5,4.22
molecule_A2BC,2_1_1_5,4.03
molecule_A2BC,2_1_1_5,3.86
molecule_A2BC,2_1_1_6,4.34
molecule_A2BC,2_1_1_6,4.18
molecule_A2BC,2_1_1_6,3.78
molecule_A2BC,2_1_1_7,4.37
molecule_A2BC,2_1_1_7,4.62
molecule_A2BC,2_1_1_7,4.81
molecule_A2BC,2_1_1_8,6.17
molecule_A2BC,2_1_1_8,6.17
molecule_A2BC,2_1_1_8,5.72
molecule_A2B2,2_2_3,3.76
molecule_A2B2,2_2_3,3.65
molecule_A2B2,2_2_3,3.65
molecule_A2B2,2_2_4,4.09
molecule_A2B2,2_2_4,3.92
molecule_A2B2,2_2_4,3.72
molecule_A2B2,2_2_5,3.71
molecule_A2B2,2_2_5,3.84
molecule_A2B2,2_2_5,3.61
molecule_A2B2,2_2_6,4.07
molecule_A2B2,2_2_6,3.79
molecule_A2B2,2_2_6,3.70
molecule_A2B2,2_2_7,3.90
molecule_A2B2,2_2_7,4.03
molecule_A2B2,2_2_7,4.45
molecule_A2B2,2_2_8,4.24
molecule_A2B2,2_2_8,4.20
molecule_A2B2,2_2_8,4.50
molecule_A5,5_3,3.72
molecule_A5,5_3,3.68
molecule_A5,5_3,3.76
molecule_A5,5_4,3.73
molecule_A5,5_4,3.72
molecule_A5,5_4,3.73
molecule_A5,5_5,4.37
molecule_A5,5_5,4.34
molecule_A5,5_5,4.44
molecule_A5,5_6,6.72
molecule_A5,5_6,6.51
molecule_A5,5_6,6.52
molecule_A5,5_7,15.44
molecule_A5,5_7,15.02
molecule_A5,5_7,15.21
molecule_A5,5_8,36.20
molecule_A5,5_8,38.92
molecule_A5,5_8,42.65
molecule_A3B,3_1_3,4.30
molecule_A3B,3_1_3,3.99
molecule_A3B,3_1_3,4.11
molecule_A3B,3_1_4,4.40
molecule_A3B,3_1_4,4.14
molecule_A3B,3_1_4,4.03
molecule_A3B,3_1_5,4.16
molecule_A3B,3_1_5,4.33
molecule_A3B,3_1_5,4.07
molecule_A3B,3_1_6,3.89
molecule_A3B,3_1_6,4.03
molecule_A3B,3_1_6,3.82
molecule_A3B,3_1_7,4.05
molecule_A3B,3_1_7,4.06
molecule_A3B,3_1_7,4.49
molecule_A3B,3_1_8,5.11
molecule_A3B,3_1_8,4.57
molecule_A3B,3_1_8,4.51
molecule_A2BCD,2_1_1_1_3,3.60
molecule_A2BCD,2_1_1_1_3,3.67
molecule_A2BCD,2_1_1_1_3,3.85
molecule_A2BCD,2_1_1_1_4,4.65
molecule_A2BCD,2_1_1_1_4,4.73
molecule_A2BCD,2_1_1_1_4,4.31
molecule_A2BCD,2_1_1_1_5,7.66
molecule_A2BCD,2_1_1_1_5,8.45
molecule_A2BCD,2_1_1_1_5,7.87
molecule_A2BCD,2_1_1_1_6,12.47
molecule_A2BCD,2_1_1_1_6,13.44
molecule_A2BCD,2_1_1_1_6,11.28
molecule_A2BCD,2_1_1_1_7,31.51
molecule_A2BCD,2_1_1_1_7,32.62
molecule_A2BCD,2_1_1_1_7,32.14
molecule_A2BCD,2_1_1_1_8,5m 47
molecule_A2BCD,2_1_1_1_8,5m 36
molecule_A2BCD,2_1_1_1_8,6m 38
molecule_ABC,1_1_1_2,4.28
molecule_ABC,1_1_1_2,4.12
molecule_ABC,1_1_1_2,4.20
molecule_ABC,1_1_1_3,4.14
molecule_ABC,1_1_1_3,4.02
molecule_ABC,1_1_1_3,4.07
molecule_ABC,1_1_1_4,4.32
molecule_ABC,1_1_1_4,4.24
molecule_ABC,1_1_1_4,4.14
molecule_ABC,1_1_1_5,4.03
molecule_ABC,1_1_1_5,4.15
molecule_ABC,1_1_1_5,3.95
molecule_ABC,1_1_1_6,4.07
molecule_ABC,1_1_1_6,4.07
molecule_ABC,1_1_1_6,4.31
molecule_ABC,1_1_1_7,4.18
molecule_ABC,1_1_1_7,4.39
